NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
300.54846,814.8457,0.9936685,306.62817,806.3367,0.9670811,302.75806,806.5526,0.947559,324.19537,810.95435,0.97562015,324.78644,811.6643,0.7270441,327.30133,858.7427,0.92620957,326.21954,862.6023,0.8276737,269.20065,917.89685,0.9602338,273.11224,934.7616,0.9944285,199.62503,936.4109,0.97292125,205.22354,947.953,0.9198649,332.3028,1010.87134,0.8736129,329.0376,1011.1356,0.78605217,320.9146,1135.2528,0.9741136,318.49823,1133.4613,0.9284637,326.97186,1256.1155,0.952129,326.24664,1251.5237,0.9507745
297.9979,814.1565,0.9702096,304.23087,805.9862,0.9708098,301.3087,806.14404,0.9021946,321.07748,812.199,0.97637403,325.52634,814.11,0.7367867,324.9404,860.7103,0.9456826,329.55966,864.3701,0.81043935,270.10178,927.954,0.9993949,284.16415,942.1638,0.8741032,205.1456,949.3596,0.9793198,218.224,954.37366,0.77727675,333.52005,1013.98,0.85310787,333.6343,1014.25964,0.7516636,318.43643,1135.4607,0.9625892,317.7263,1133.6705,0.93435204,325.9471,1256.7856,0.9677644,325.67514,1251.418,0.9118934
295.4245,818.702,0.9507195,301.04364,809.8751,0.97569513,299.0545,810.3032,0.93120027,317.1949,814.67676,0.9644916,325.58954,816.7379,0.76407623,322.16382,865.9563,0.9734498,327.66473,867.89307,0.86834705,271.18835,937.2599,0.92041266,280.85138,949.188,0.9826969,207.96199,967.7626,0.9566341,214.76317,974.6476,0.9139923,336.52295,1015.91895,0.84060425,336.14594,1016.0803,0.75415623,315.1219,1132.804,0.9176257,315.70685,1131.5189,0.8512738,326.8222,1255.997,0.9519509,326.2763,1250.4537,0.9475955
292.06354,822.3006,0.9741008,296.99762,813.66534,0.9604881,295.76678,814.02936,0.9108951,311.64777,818.4792,0.96427083,323.6985,820.9881,0.8094546,318.88983,869.9864,0.9184507,322.9839,869.84247,0.8865649,278.10864,952.6849,0.9480832,284.08276,961.3483,0.98035777,222.86256,993.35345,0.9851059,229.80586,994.38934,0.8957461,337.7343,1018.2735,0.84008765,336.9414,1018.2614,0.7420129,307.3296,1128.9602,0.95718074,310.88684,1129.2253,0.92048407,326.2799,1255.3389,0.9464857,325.85004,1251.0605,0.97668624
288.77917,828.93304,0.95732605,295.15826,821.0944,0.97649914,292.23016,820.76544,0.95058644,312.373,828.0295,0.97018147,316.54413,829.1015,0.7478262,315.89026,878.2531,0.98462695,325.45276,879.29083,0.81911814,284.58807,964.6849,0.96994174,291.5393,976.52875,0.97075796,236.4489,1019.1757,0.993031,244.66585,1024.6958,0.9189327,339.40723,1024.6965,0.88079184,343.5772,1024.5869,0.7748405,301.95483,1133.4727,0.9873945,309.1693,1133.8943,0.89791393,325.80713,1257.7156,0.94279015,324.49707,1251.5454,0.9277587
285.22998,839.471,0.99270844,290.30243,830.91,0.9729457,288.18726,831.2861,0.93193924,306.19257,835.7028,0.96964186,316.06604,837.7034,0.83106244,313.2099,883.20636,0.920848,321.95532,884.91693,0.8264576,295.86328,967.3997,0.945194,311.00726,976.81573,0.81779486,263.04742,1037.1995,0.91432023,283.9749,1037.73,0.8967025,340.20807,1031.4893,0.8487135,341.51965,1030.593,0.74547035,300.42853,1136.311,0.9605316,304.3896,1136.207,0.9000933,325.27533,1259.9028,0.9591703,324.71362,1254.1819,0.9438561
279.64667,844.10626,0.94451934,284.74515,836.07355,0.9905616,283.15292,836.5257,0.95315623,301.20865,843.1318,0.949452,308.88437,844.9388,0.80219066,309.8472,891.53156,0.9374167,323.76535,889.6125,0.8520763,305.4609,975.5535,0.92492634,329.88687,970.6607,0.5548911,288.9008,1054.8748,0.95955044,313.94638,1044.1707,0.36234516,338.66263,1039.7197,0.8442153,348.74136,1036.7761,0.75211334,300.39328,1142.978,0.93680954,307.3293,1143.062,0.86538863,324.98795,1263.448,0.963618,324.7733,1258.4526,0.9973368
274.80203,850.424,1.0061299,279.75534,842.184,0.9801882,278.20248,842.40106,0.95414186,296.70267,847.3931,0.9835601,305.83572,849.0474,0.8102845,307.21725,895.65607,0.9728817,324.88815,894.71185,0.85560125,319.39847,972.08563,0.94937575,356.35123,971.3848,0.7683562,321.32193,1053.5571,0.98612475,374.52078,1042.5747,0.77714396,340.42093,1043.2886,0.8033922,354.8489,1039.9551,0.74003285,301.78342,1146.2183,0.93642426,309.2626,1146.5979,0.8784582,326.16617,1265.7815,0.9498899,326.84268,1260.697,0.97363377
270.9605,853.663,1.000408,275.3872,845.4439,0.9778341,274.3593,845.716,0.9025218,290.20593,850.09125,0.96297127,305.17242,852.5152,0.85223097,303.52527,894.6893,0.9629485,324.02423,896.3139,0.83857954,332.76917,961.6491,0.9396659,363.898,960.3427,0.8784126,354.563,1030.1621,0.96255386,399.50854,1014.90314,0.92227924,332.92426,1045.4846,0.84673333,347.0855,1043.5066,0.7231552,302.55164,1148.1577,0.933244,310.80554,1149.2195,0.9065927,326.3908,1267.2554,0.97087884,325.68158,1260.8213,0.970899
267.14395,854.8864,0.9664928,271.8007,846.66656,0.9432379,270.2491,846.87286,0.89075017,287.02292,852.28375,0.9708034,302.4078,854.66986,0.7874414,300.37894,894.4328,0.98226213,320.39944,894.06793,0.868827,345.05795,948.32,0.90652275,372.33292,944.2758,0.87688375,385.0981,1000.8892,0.9257188,423.53244,981.49945,0.9647663,341.03586,1039.9133,0.8794491,357.54245,1036.2883,0.75687337,302.11783,1140.03,0.9770949,305.59195,1138.4558,0.85262066,325.05997,1263.3823,0.9768902,325.5261,1256.1228,0.8565757
